magnitude_app,temperature_K,spectral_class,radius_solar,metallicity_Fe_H
10.11,8561,A,1.52,-0.123
6.82,3499,M,1.72,-0.11
8.84,3585,M,1.23,-0.108
10.35,3360,M,2.46,-0.213
7.32,3651,M,1.16,0.228
4.34,5597,G,2.72,0.039
7.19,3454,M,0.73,-0.181
8.38,4390,K,0.72,0.016
10.01,3647,M,0.91,-0.095
6.96,5459,G,0.98,0.626
11.45,3378,M,0.85,-0.062
5.4,3433,M,1.31,0.185
8.33,3635,M,0.95,0.109
7.52,3218,M,0.74,-0.038
10.69,4420,K,0.82,0.11
5.05,4741,K,1.84,0.053
8.85,3471,M,1.17,0.622
7.51,3548,M,0.43,-0.024
11.06,4745,K,2.13,-0.652
6.34,8879,A,1.24,0.547
8.83,3423,M,1.38,-0.127
6.32,3477,M,1.59,0.022
8.38,3658,M,1.63,-0.136
7.26,3664,M,0.63,-0.15
7.23,3485,M,0.59,-0.28
4.03,4488,K,3.31,-0.501
8.83,8614,A,0.71,-0.179
5.84,3739,M,1.21,0.129
5.77,3687,M,2.26,-0.412
4.89,3621,M,0.8,0.126
5.89,3311,M,0.84,0.58
9.0,3452,M,1.59,0.072
8.9,3461,M,1.11,-0.347
9.33,3748,M,1.28,0.101
5.95,4446,K,0.96,0.239
8.43,3719,M,0.77,0.326
6.77,3400,M,0.85,0.047
9.91,6340,F,1.82,0.151
8.85,3584,M,0.86,0.213
6.69,3774,M,1.24,0.151
10.08,3463,M,0.62,0.08
9.01,3923,K,2.77,-0.16
5.23,4148,K,1.17,0.239
4.66,4567,K,1.19,-0.134
5.3,6021,F,1.59,0.651
11.3,3349,M,0.79,-0.16
5.97,6504,F,1.82,0.201
11.75,3071,M,0.47,-0.319
5.87,4415,K,0.74,-0.119
5.65,5180,G,0.67,-0.147
9.76,3238,M,0.39,-0.342
9.85,3360,M,0.77,-0.144
9.11,3313,M,0.97,0.09
9.35,3582,M,0.58,-0.062
6.4,3709,M,0.54,0.298
9.67,3436,M,1.02,-0.233
8.48,3396,M,0.96,0.174
7.27,5386,G,0.88,-0.148
8.19,3306,M,0.53,0.282
10.12,4210,K,0.82,0.196
8.78,3212,M,0.72,0.253
3.68,4201,K,1.04,-0.04
9.78,3786,M,0.76,0.332
9.63,3379,M,0.98,-0.415
7.24,4691,G,0.52,0.112
8.23,3397,M,0.5,0.035
8.23,5983,F,1.32,0.208
4.04,5516,G,1.47,-0.019
7.2,3492,M,0.82,-0.246
7.27,3510,M,1.01,-0.273
7.68,3493,M,0.8,-0.003
6.95,3435,M,1.73,-0.065
9.33,3245,M,0.9,0.214
6.38,3487,M,0.78,0.238
9.82,3678,M,1.62,0.012
9.23,4908,K,0.68,0.006
10.72,4446,K,1.08,0.266
11.47,6458,F,0.59,-0.061
11.48,3588,M,1.39,-0.051
5.63,5911,G,1.5,-0.331
8.69,4391,K,0.53,0.22
6.56,3621,M,0.49,-0.022
14.56,4315,K,1.16,0.284
9.23,3558,M,2.64,-0.302
10.83,4718,K,1.56,-0.123
8.87,6080,F,0.9,0.237
2.73,4382,K,0.65,0.082
6.43,4715,K,0.54,-0.296
6.63,3608,M,1.43,0.231
7.22,4733,K,1.59,-0.326
8.72,4691,K,0.73,0.207
9.0,3440,M,0.88,-0.245
2.75,3885,M,1.02,0.303
7.53,3524,M,2.48,0.028
7.03,2965,M,1.03,0.086
10.76,3451,M,0.61,-0.02
9.18,4394,K,0.56,0.022
7.63,3639,M,0.63,0.021
8.45,3421,M,1.88,0.176
4.63,4747,K,1.29,-0.016
9.32,4626,K,0.84,0.366
7.21,4275,K,0.23,-0.184
6.39,5461,G,0.65,0.215
10.63,5287,G,1.19,0.141
8.55,6560,F,1.19,0.308
6.67,3363,M,1.19,0.03
6.79,3513,M,0.51,0.082
8.73,3452,M,1.09,0.08
8.58,3473,M,0.61,-0.304
8.06,6064,G,1.0,0.098
5.59,3437,M,0.68,0.817
5.89,3161,M,1.71,0.402
6.5,6830,F,1.18,-0.195
7.61,5777,G,0.93,-0.45
7.92,4055,K,1.99,0.013
7.68,6272,F,0.83,0.271
7.77,4598,K,0.49,-0.01
11.76,6670,F,1.7,0.472
9.7,4499,K,1.13,-0.195
10.38,4504,K,0.85,0.056
8.93,3336,M,0.72,-0.027
8.14,3960,K,1.29,0.183
8.82,4961,K,1.5,0.2
8.45,3330,M,0.68,0.297
9.62,3531,M,1.33,-0.031
6.05,4464,K,1.13,0.314
9.45,3657,M,0.66,0.086
8.33,4526,K,1.0,0.34
4.39,5542,G,0.76,0.375
8.17,3907,K,1.86,0.005
5.39,3354,M,0.72,-0.168
6.93,4668,K,2.13,0.051
7.68,3615,M,1.07,0.248
4.99,4286,K,0.42,-0.376
7.89,3224,M,0.34,-0.124
8.14,4528,K,0.9,0.171
9.51,2991,M,1.95,-0.647
7.09,3299,M,1.85,-0.259
8.55,3808,M,1.09,-0.153
7.81,4825,K,0.69,-0.021
7.16,3585,M,0.81,-0.08
4.66,3554,M,1.11,-0.076
7.78,4061,K,1.72,-0.333
9.49,3370,M,1.33,0.442
6.13,3448,M,1.62,-0.152
7.56,3374,M,1.38,-0.476
7.86,5404,G,1.6,0.284
10.2,3727,M,0.32,-0.194
8.06,5351,G,0.64,-0.303
8.58,3440,M,0.58,0.17
7.98,4666,K,0.55,-0.13
7.02,3252,M,1.0,0.042
5.73,5269,G,0.48,-0.158
7.43,3371,M,0.62,-0.116
8.79,4513,K,0.95,-0.248
8.25,3440,M,0.45,-0.304
10.96,3445,M,0.78,0.868
9.89,3384,M,1.38,-0.207
10.48,4259,K,0.54,-0.366
3.94,4637,K,1.49,0.283
11.16,4424,K,0.67,0.067
8.53,3608,M,1.15,0.004
8.82,4250,K,0.58,-0.122
9.79,3384,M,1.25,-0.102
8.04,3461,M,0.86,-0.074
5.86,5465,G,1.26,0.284
10.89,4670,K,0.76,-0.062
6.46,4403,K,1.32,0.286
6.03,4668,K,1.53,-0.013
7.53,3566,M,1.06,-0.051
7.23,3481,M,0.79,-0.255
8.01,3334,M,0.89,0.536
7.8,5708,G,0.53,0.004
10.69,3338,M,1.11,-0.0
8.92,4495,K,1.37,0.465
6.28,4488,K,2.19,0.104
6.56,3464,M,1.92,0.132
7.22,3432,M,0.61,0.015
7.23,4315,K,1.11,-0.194
6.97,3217,M,0.94,0.304
5.8,3746,M,1.84,-0.354
8.58,3414,M,0.7,-0.244
7.09,6458,F,1.55,-0.194
6.1,3477,M,0.61,0.063
8.97,3692,M,0.95,-0.004
9.7,3838,M,0.64,-0.466
7.51,3528,M,0.37,0.579
11.56,3473,M,0.64,0.19
12.43,3303,M,0.88,-0.123
8.99,6031,F,2.04,0.108
7.06,3190,M,0.58,0.112
8.54,6241,F,0.74,-0.083
5.55,4030,K,0.49,0.098
6.26,3689,M,1.78,0.101
4.63,4595,K,0.79,0.273
6.74,3456,M,0.84,0.017
5.53,3694,M,0.84,0.08
9.25,4259,K,0.38,-0.052
6.5,3357,M,0.48,-0.108
8.55,5872,F,0.62,-0.192
9.5,3636,M,1.36,-0.201
10.34,3358,M,0.29,-0.116
7.29,4504,K,1.31,-0.059
8.62,4726,K,1.19,0.251
8.69,4808,K,0.4,-0.095
10.54,3495,M,0.85,-0.083
9.57,3567,M,1.79,-0.073
10.61,4297,K,0.59,-0.012
4.67,3795,M,0.76,0.425
6.67,5454,G,3.98,-0.095
10.06,3514,M,1.18,0.14
9.16,3429,M,0.88,0.087
7.75,5830,G,0.79,0.016
7.05,3535,M,1.21,-0.24
9.58,3633,M,1.41,0.131
4.04,3562,M,0.34,-0.481
9.58,5439,G,0.33,-0.255
8.18,5756,G,0.61,-0.135
7.02,8647,A,0.93,-0.056
9.0,3332,M,1.04,0.021
7.23,3327,M,0.43,0.348
8.06,5541,G,0.9,0.158
7.91,3659,M,0.96,0.042
9.49,4869,K,0.65,-0.084
8.32,5011,G,0.77,-0.081
4.18,3504,M,0.7,-0.284
5.22,6659,F,1.26,-0.527
5.83,4567,K,1.0,-0.319
8.91,4727,K,0.56,0.293
9.11,3615,M,1.61,-0.178
11.34,3328,M,0.5,-0.131
5.97,3322,M,0.42,0.255
10.62,3555,M,0.88,-0.66
4.12,3673,M,0.88,-0.147
8.04,4532,K,1.04,-0.274
8.49,3224,M,0.55,0.073
8.48,3317,M,1.56,0.139
7.38,3621,M,2.36,0.143
8.24,3439,M,0.99,0.377
5.53,3521,M,1.17,0.138
9.73,4740,K,0.35,0.062
8.5,3290,M,0.8,0.608
8.72,5386,G,0.71,-0.532
7.44,3408,M,0.65,0.55
7.34,4580,K,0.72,0.435
9.05,5713,G,0.76,-0.037
11.18,3241,M,0.48,-0.177
5.21,4499,K,0.78,-0.165
5.11,3652,M,0.59,-0.072
8.53,3175,M,1.48,0.299
7.34,3489,M,1.18,-0.617
8.25,4226,K,1.18,0.502
7.95,5324,G,1.63,-0.0
9.24,3936,K,0.66,0.294
7.43,3744,M,1.14,-0.307
5.58,3438,M,1.71,0.181
6.42,3359,M,0.64,0.097
7.68,3557,M,0.36,0.141
5.49,3318,M,0.71,-0.173
7.93,3301,M,1.61,-0.096
8.12,5915,G,0.62,-0.309
7.28,7088,F,0.79,0.191
8.42,4367,K,0.68,0.336
4.77,5794,G,0.91,0.071
6.09,3562,M,0.59,-0.67
5.71,3253,M,0.48,0.339
9.76,3338,M,0.8,0.03
12.61,3771,M,0.87,-0.664
6.24,3250,M,1.75,-0.426
7.53,3899,M,1.03,-0.263
6.61,5343,G,0.56,-0.0
8.44,4856,K,0.69,-0.255
6.78,4431,K,1.43,-0.222
8.57,5720,G,0.81,0.228
9.33,3744,M,0.58,0.297
5.55,3743,M,1.04,0.237
8.54,4369,K,0.67,-0.409
4.41,3350,M,1.27,0.236
7.49,3486,M,1.2,-0.12
7.35,7947,A,0.56,0.491
7.54,4554,K,2.44,0.065
7.38,3356,M,0.94,0.304
7.01,3689,M,0.26,0.139
7.47,4372,K,1.21,0.108
8.48,4108,K,0.27,-0.092
8.53,4815,K,1.68,0.302
8.23,6560,F,1.03,0.233
6.85,3505,M,0.93,-0.083
10.16,6856,F,0.96,-0.11
11.05,4696,K,1.29,-0.178
5.42,6252,F,0.75,0.204
8.33,3421,M,0.95,0.059
7.06,6138,F,1.02,0.072
9.85,4170,K,0.23,-0.09
7.97,3601,M,1.29,0.364
8.11,4588,K,1.4,-0.372
8.99,4671,K,1.2,0.196
7.4,4788,K,1.16,0.245
11.35,3636,M,2.13,-0.079
9.02,3651,M,0.94,-0.362
9.86,4032,K,0.95,0.096
7.56,6400,F,0.69,0.299
7.75,6813,F,0.37,0.443
9.62,3296,M,1.2,0.164
9.42,3516,M,0.73,-0.153
5.5,3591,M,0.37,0.173
8.26,3577,M,0.92,0.125
8.95,3565,M,0.91,0.08
7.74,3605,M,0.85,-0.221
8.76,3532,M,1.03,0.15
7.82,3244,M,0.44,0.117
3.51,4614,K,1.57,0.607
5.38,3550,M,1.19,0.022
9.95,3246,M,1.78,0.424
7.51,3741,M,0.73,0.348
8.38,5647,G,1.19,0.012
7.99,3258,M,0.38,0.309
6.35,3357,M,0.63,-0.196
7.07,3401,M,0.48,-0.048
8.66,4373,K,1.09,-0.134
8.86,3551,M,0.55,-0.039
12.38,5232,G,0.77,-0.501
7.04,3697,M,0.96,0.45
11.34,3683,M,0.78,-0.076
6.28,4639,K,0.5,0.197
8.98,6514,F,2.18,0.061
8.36,3664,M,1.02,-0.068
7.75,5424,G,2.19,-0.319
7.99,3373,M,0.57,-0.229
6.75,3708,M,0.79,-0.059
9.81,4571,K,1.0,-0.119
6.31,3380,M,2.06,-0.243
8.64,4406,K,2.18,-0.172
9.51,3371,M,0.77,0.115
10.77,4955,K,0.67,0.219
9.94,3501,M,0.96,-0.292
9.14,3528,M,1.75,-0.22
6.72,3626,M,1.03,0.054
6.43,6105,F,1.12,-0.041
5.72,4747,K,1.74,-0.092
5.53,3394,M,1.6,0.231
8.0,3820,M,1.64,0.046
6.55,5414,G,1.36,-0.406
10.4,4733,K,1.97,-0.2
6.84,3938,K,0.54,-0.415
8.19,3294,M,3.08,-0.045
7.47,4434,K,1.7,-0.332
5.19,4043,K,0.92,-0.44
10.18,5665,G,1.74,-0.514
9.39,4570,K,0.84,0.496
9.62,5228,G,1.27,-0.341
9.19,3497,M,1.34,-0.079
6.48,5722,G,1.54,0.015
6.52,3132,M,0.79,0.03
8.9,3277,M,1.56,0.155
11.09,4425,K,0.8,-0.013
8.77,4505,K,1.44,-0.113
9.96,3490,M,0.99,0.055
6.95,3656,M,0.4,0.052
10.2,3584,M,0.69,0.013
7.16,6726,F,1.53,0.16
8.48,3257,M,0.86,-0.156
7.27,3525,M,1.83,-0.05
9.78,3446,M,0.55,-0.331
9.81,3756,M,1.42,-0.061
5.05,3531,M,0.98,-0.16
10.65,4349,K,0.88,0.264
12.75,6777,F,0.55,-0.366
7.29,3599,M,1.11,-0.119
7.75,3356,M,0.6,-0.131
10.48,8352,A,0.73,0.168
8.13,3442,M,0.93,-0.319
7.99,3715,M,0.83,0.001
11.79,5556,G,1.67,0.02
5.29,5700,G,0.27,0.231
6.42,3414,M,0.91,-0.214
8.84,4575,K,0.83,-0.327
4.76,5858,G,1.0,0.119
7.25,4419,K,0.76,-0.349
7.24,4526,K,1.67,-0.131
9.92,3261,M,0.88,-0.06
9.39,3366,M,1.07,0.154
4.63,4425,K,1.56,-0.385
6.61,3314,M,1.03,-0.074
6.62,3731,M,0.53,0.007
7.57,5270,G,0.81,-0.215
5.8,5716,G,0.94,-0.089
8.9,3533,M,0.44,0.222
6.61,3505,M,0.7,-0.127
9.18,5909,G,0.97,-0.091
7.99,4878,G,2.73,0.221
6.05,3466,M,1.2,-0.055
10.78,6149,F,1.08,0.335
10.84,3157,M,2.33,-0.41
8.58,6112,F,1.34,-0.068
7.52,6506,F,1.44,0.194
5.89,3373,M,0.82,-0.18
10.14,3657,M,0.53,-0.059
9.65,3463,M,1.14,0.316
6.37,4427,K,2.49,-0.194
6.63,3444,M,2.13,0.121
8.91,3483,M,1.39,0.187
5.65,4406,K,0.71,0.019
6.75,4308,K,0.46,0.01
5.92,5772,G,0.66,-0.256
5.98,3391,M,1.12,0.183
6.56,3433,M,0.79,-0.314
9.81,4597,K,1.65,0.098
4.49,5588,G,0.47,-0.13
8.87,4299,K,0.94,-0.099
8.52,3632,M,0.68,-0.05
9.94,6675,F,1.64,0.125
8.51,5549,G,1.31,0.39
7.24,3425,M,0.66,0.028
6.37,3429,M,1.53,-0.18
9.98,6434,F,0.44,-0.36
8.99,3284,M,0.41,0.29
7.01,6487,F,0.64,0.044
9.82,3656,M,0.37,-0.058
7.11,3653,M,0.95,0.015
8.0,3433,M,0.96,0.192
6.79,3686,M,0.82,-0.103
9.07,7119,F,1.31,-0.167
6.01,3445,M,0.7,-0.327
7.4,5690,G,0.52,-0.27
6.69,3991,K,0.67,-0.086
8.53,3280,M,0.54,0.269
8.78,3516,M,0.74,-0.127
5.79,3324,M,1.35,0.065
8.81,7163,F,0.42,0.281
5.05,3605,M,0.84,0.095
12.38,6814,F,1.61,0.493
6.98,3495,M,1.71,0.017
10.1,6174,F,0.71,-0.039
8.4,5357,G,3.02,-0.095
8.48,4557,K,0.59,0.498
5.67,3388,M,0.89,0.305
9.69,5685,G,0.56,-0.365
8.1,3624,M,1.24,0.528
8.94,5501,G,4.06,0.124
7.82,5907,F,2.51,0.032
8.26,4886,K,1.53,0.13
6.23,3463,M,0.74,-0.24
7.69,6245,G,0.92,0.049
7.16,5679,G,1.75,-0.077
6.59,3463,M,1.45,-0.09
8.27,4601,K,1.04,0.24
8.73,3147,M,1.07,-0.066
8.5,5782,G,1.7,0.025
7.8,3949,M,1.92,0.082
8.82,4030,K,0.47,0.236
8.48,3450,M,1.12,0.317
8.2,3482,M,1.34,0.004
8.33,3653,M,0.77,-0.095
10.37,3869,M,1.9,0.476
5.59,3567,M,0.87,-0.645
7.36,4982,K,1.92,0.217
8.68,4538,K,0.83,-0.036
4.83,3579,M,1.14,0.143
10.77,3557,M,1.13,0.01
8.51,6897,F,2.3,0.32
9.91,3426,M,1.45,0.105
10.24,4684,K,0.8,-0.355
8.82,3285,M,0.87,-0.366
3.53,3450,M,0.87,-0.054
8.3,3389,M,1.01,0.152
8.42,20088,B,0.62,0.327
5.83,3445,M,0.96,-0.167
4.42,3698,M,1.98,-0.553
8.92,4302,K,1.94,0.108
5.5,3197,M,0.46,0.011
12.12,3262,M,0.42,0.036
8.53,4724,K,0.74,-0.275
10.7,4282,K,0.41,0.298
8.06,5609,G,0.53,-0.204
9.5,3448,M,1.19,0.077
8.11,3644,M,0.98,0.069
10.01,3460,M,0.42,0.137
3.92,5122,K,1.8,-0.186
9.78,3832,M,0.81,-0.231
9.34,3445,M,0.77,0.213
7.69,3421,M,1.66,0.138
7.18,6361,G,1.23,0.084
7.4,3311,M,0.98,0.281
8.57,3490,M,0.78,0.085
10.43,8510,A,1.33,-0.093
6.93,3500,M,0.81,0.129
4.6,3196,M,0.89,0.113
12.97,4612,K,0.56,0.119
9.34,3330,M,1.77,-0.221
7.22,6967,F,2.17,-0.245
10.38,3245,M,1.11,0.22
9.87,5516,G,0.78,-0.037
8.98,4001,K,1.6,-0.486
7.05,3123,M,1.34,-0.343
9.33,3353,M,0.8,-0.33
10.18,3378,M,1.78,0.267
4.56,3757,M,0.81,-0.012
8.45,3493,M,0.53,0.009
8.6,3726,M,0.97,-0.088
8.53,3434,M,1.72,-0.265
8.09,4636,K,1.05,0.19
10.37,5300,G,0.56,0.163
7.58,4321,K,0.82,-0.176
7.99,3181,M,1.82,0.351
8.63,6609,F,1.15,0.186
7.64,5572,G,0.99,-0.213
5.23,5714,G,0.94,-0.072
8.43,3538,M,1.72,-0.092
8.45,4956,K,1.66,0.078
7.27,5548,G,0.5,-0.357
7.74,3674,M,1.6,-0.176
1.64,3443,M,1.29,0.199
10.42,4296,K,2.22,-0.397
9.8,3626,M,0.97,-0.049
5.32,6471,F,1.76,-0.307
6.65,3646,M,1.26,0.228
10.9,4579,K,0.57,0.086
5.69,3361,M,1.67,-0.367
8.96,3688,M,1.5,-0.261
7.02,3348,M,0.72,0.003
8.82,8766,A,1.16,-0.577
8.1,3724,M,2.87,-0.275
7.43,6375,F,0.79,-0.206
8.78,3702,M,1.44,0.321
7.01,3570,M,0.58,-0.144
4.43,3649,M,0.75,0.165
6.14,3354,M,1.5,-0.118
5.9,3538,M,1.14,0.186
4.79,3254,M,0.9,-0.388
8.74,4885,K,2.34,-0.181
7.65,3148,M,0.63,-0.027
8.71,3438,M,0.93,0.044
9.04,3337,M,1.28,0.081
9.51,3618,M,0.65,0.048
8.81,3837,M,1.29,0.126
6.04,3615,M,1.71,-0.003
9.16,4018,M,0.94,0.044
8.44,4190,K,0.71,-0.253
12.38,3272,M,0.86,-0.405
8.02,3344,M,0.26,-0.279
8.77,6539,F,1.65,-0.422
7.81,4269,K,1.14,0.056
8.1,3368,M,0.92,0.235
7.96,6702,F,0.43,-0.237
7.13,3283,M,1.74,0.252
8.35,3302,M,0.8,0.113
9.24,3430,M,1.33,-0.138
7.16,3447,M,0.99,-0.087
9.67,3677,M,0.45,0.279
9.43,3342,M,1.89,-0.581
6.24,6266,F,1.71,0.278
6.07,3602,M,1.47,0.224
8.9,3640,M,1.17,-0.147
6.82,3750,M,0.55,-0.023
5.91,3582,M,1.54,0.407
11.43,6542,F,3.01,-0.327
6.07,3601,M,1.06,-0.046
4.95,3453,M,1.07,0.162
6.43,5424,G,0.58,0.052
8.46,3190,M,0.36,0.013
8.15,3656,M,0.84,0.454
11.77,3537,M,2.1,-0.277
6.46,3636,M,1.96,-0.266
8.47,4726,G,0.97,-0.628
10.26,3492,M,1.24,-0.27
6.68,6222,F,0.54,-0.166
9.41,3763,M,1.06,0.08
4.34,3607,M,0.77,0.24
11.52,3541,M,1.03,-0.241
9.99,3424,M,0.87,-0.036
6.64,4589,K,0.86,0.349
9.66,3338,M,1.65,-0.047
10.63,3483,M,2.67,0.13
5.42,3399,M,0.92,0.28
6.8,6123,G,2.03,-0.232
10.69,3757,M,0.54,-0.283
8.13,3686,M,0.95,0.405
8.87,3239,M,0.52,0.145
8.14,3651,M,0.86,-0.332
9.78,4542,K,1.43,-0.264
9.03,3714,M,1.75,-0.05
8.21,3556,M,0.68,0.348
3.8,5498,G,1.26,0.245
9.28,3541,M,1.85,0.267
9.46,3184,M,1.72,-0.109
5.52,4327,K,1.14,-0.002
5.66,8659,A,0.74,-0.2
9.04,5813,G,0.71,-0.104
8.39,4376,K,0.66,-0.281
4.05,5489,G,0.98,-0.218
6.36,5060,G,0.66,-0.182
8.63,4828,K,1.4,-0.036
9.35,3695,M,1.12,0.105
6.83,3614,M,1.1,0.417
7.71,4592,K,0.4,-0.091
6.24,3772,M,1.01,0.147
10.65,3359,M,0.79,-0.045
8.35,3340,M,2.95,0.241
6.66,3686,M,0.53,-0.314
5.69,4724,K,0.9,-0.134
5.47,4231,K,1.21,0.166
11.62,4380,K,0.61,0.145
7.65,3796,M,2.62,0.15
7.2,3572,M,2.65,0.352
7.57,3638,M,0.65,-0.433
6.74,4239,K,0.74,-0.314
7.79,3615,M,2.93,0.14
8.07,3252,M,2.01,0.203
8.03,3154,M,0.83,0.164
5.47,4664,K,1.24,0.677
9.78,3751,M,0.5,-0.229
6.89,3456,M,3.0,0.092
6.68,3404,M,1.04,-0.018
6.59,3799,M,1.34,0.155
5.9,6437,F,0.63,0.094
8.54,3488,M,0.57,-0.129
9.79,5966,G,1.25,0.097
6.55,3438,M,2.61,0.021
4.31,4353,K,0.76,0.032
5.95,3643,M,0.61,0.283
7.1,3375,M,1.16,0.62
5.54,3475,M,2.27,-0.478
6.8,3269,M,0.73,0.322
6.9,3532,M,0.88,0.161
7.97,3512,M,1.52,-0.185
5.09,5766,G,1.6,-0.091
9.16,5736,G,0.87,0.221
11.32,3597,M,1.73,0.013
10.86,6628,F,1.3,-0.012
6.83,3487,M,1.01,-0.172
9.34,5668,G,1.57,-0.19
9.1,3305,M,1.47,-0.241
7.91,3089,M,0.59,-0.127
8.35,3703,M,2.1,-0.032
9.37,5685,G,1.19,0.089
9.77,4471,K,1.99,-0.206
6.38,4742,K,1.03,0.189
9.5,6262,F,1.13,-0.227
11.33,3377,M,1.22,0.192
9.76,3352,M,1.31,-0.217
11.07,6684,F,2.15,0.504
2.83,4144,K,1.26,0.162
9.19,4327,K,0.99,0.21
8.53,4565,K,1.66,-0.043
10.05,3289,M,1.24,0.152
5.75,4351,K,4.38,-0.313
6.99,4002,K,1.16,-0.244
9.8,3606,M,1.86,-0.077
5.88,5311,G,1.55,0.379
8.48,3308,M,0.36,0.252
7.97,3273,M,0.69,-0.559
7.61,4406,K,0.8,-0.247
9.15,3223,M,0.47,-0.022
5.77,3840,M,0.82,0.314
6.44,3083,M,0.5,0.061
7.72,3421,M,0.57,-0.634
5.6,3519,M,1.13,-0.293
10.46,3364,M,2.61,0.18
6.4,3537,M,0.51,0.051
9.57,3360,M,0.54,0.034
6.25,21530,B,0.77,0.278
9.41,3304,M,0.93,-0.087
4.78,4853,G,0.46,0.175
10.82,6078,F,0.71,0.41
10.27,3568,M,0.67,0.056
6.89,3479,M,1.17,-0.224
6.35,4669,K,1.24,-0.107
8.92,3588,M,0.93,-0.226
4.95,3389,M,0.83,-0.56
8.07,3414,M,0.7,-0.198
6.38,4413,K,1.03,0.159
7.49,4924,K,0.61,0.002
6.71,4655,K,2.17,0.34
6.4,3831,M,0.47,0.036
11.41,5731,G,0.72,0.221
9.56,6479,F,1.54,-0.44
5.04,3322,M,0.82,-0.11
6.25,3535,M,1.4,-0.067
9.71,3489,M,2.36,-0.206
9.94,5474,G,1.52,0.381
5.23,4453,K,0.55,-0.482
9.4,3141,M,0.56,-0.028
8.53,3721,M,0.91,0.283
4.12,3491,M,1.25,0.191
7.19,6040,F,1.83,-0.095
7.73,3584,M,0.68,-0.225
8.1,4307,K,0.78,0.273
5.36,4626,K,0.88,-0.13
6.47,5742,G,0.87,-0.208
6.75,3678,M,2.11,0.25
6.93,3472,M,0.95,0.077
6.96,3428,M,1.08,-0.088
7.73,3391,M,1.58,0.081
8.62,4337,K,2.22,0.111
11.55,3497,M,0.98,-0.013
9.74,3463,M,1.88,0.038
10.63,3356,M,2.49,-0.541
7.04,3300,M,0.95,-0.026
5.99,4476,K,0.75,-0.16
9.6,3424,M,2.98,-0.2
7.97,3300,M,1.75,-0.171
9.46,3645,M,1.01,-0.124
6.24,3810,M,1.38,-0.074
9.3,3668,M,0.59,0.042
7.65,5302,G,1.74,-0.183
7.08,3491,M,0.41,0.13
7.27,3770,M,1.71,0.184
8.98,5177,G,0.7,0.181
9.55,6754,F,0.44,0.234
7.27,3247,M,0.37,-0.142
8.69,5963,G,0.79,-0.068
8.68,5382,G,1.43,0.062
9.48,3890,M,0.5,-0.106
9.97,3802,M,0.54,-0.29
11.62,4476,K,0.78,-0.126
7.07,3374,M,1.5,0.409
10.92,3534,M,1.59,-0.186
8.23,3468,M,1.07,-0.198
5.81,3430,M,1.64,-0.137
6.7,3210,M,1.41,0.139
8.93,5358,G,0.81,0.087
9.45,3306,M,1.58,0.177
5.97,6679,F,0.53,0.633
6.47,6822,F,1.28,0.205
6.93,3630,M,0.56,0.225
6.27,8646,A,1.07,0.715
4.24,3351,M,1.84,0.122
3.56,3536,M,1.11,-0.098
7.24,4678,K,0.99,-0.076
8.5,6309,F,1.12,0.264
9.31,3521,M,1.39,-0.313
5.28,3475,M,2.91,-0.487
5.31,3791,M,1.39,-0.205
6.94,3649,M,0.78,0.205
8.01,4637,K,0.9,0.148
10.02,7770,A,0.64,-0.04
9.44,3530,M,0.54,0.267
7.26,4465,K,0.3,0.152
8.72,3471,M,0.79,0.086
6.31,3226,M,0.5,-0.004
8.15,3310,M,1.05,0.224
7.88,3488,M,0.78,0.189
10.81,3695,M,0.58,-0.068
8.99,3397,M,0.35,0.203
6.46,3430,M,0.84,-0.163
6.48,3812,M,0.42,0.059
7.33,3448,M,1.42,0.1
4.87,3477,M,1.14,-0.084
7.54,3480,M,0.89,0.034
7.71,3265,M,2.07,0.152
8.93,5657,G,1.0,-0.271
9.22,4353,K,1.21,0.046
8.2,19970,B,1.41,0.554
4.74,5622,G,0.77,-0.207
5.56,3840,M,0.77,0.257
6.79,5138,G,1.02,-0.024
9.3,3651,M,0.51,0.296
9.24,3652,M,2.44,-0.181
7.5,6293,F,1.08,0.002
12.72,4635,K,0.9,0.553
11.12,3788,M,2.84,-0.043
10.48,3366,M,0.58,0.158
9.4,3542,M,2.16,0.149
8.92,3571,M,1.5,-0.507
8.77,3593,M,1.75,0.112
4.39,4673,K,0.92,-0.309
5.9,4537,K,1.03,0.158
7.56,3590,M,0.84,0.029
8.26,4295,K,1.65,-0.279
7.75,3529,M,1.22,-0.298
8.54,3417,M,0.76,-0.018
3.79,3285,M,0.77,0.62
9.01,4385,K,0.99,0.406
8.12,3547,M,0.85,0.09
7.63,3576,M,2.06,0.129
9.85,3278,M,1.5,0.15
5.91,4289,K,1.5,-0.134
7.53,3627,M,1.12,-0.173
8.57,3589,M,0.66,0.213
6.29,3655,M,1.42,-0.15
3.99,3739,M,0.35,0.36
5.69,3594,M,1.09,-0.338
7.87,4407,K,0.67,-0.225
7.5,5532,G,0.64,0.354
7.96,3790,M,0.79,-0.072
6.68,3984,M,0.96,-0.031
5.38,5627,G,0.99,0.161
8.27,3594,M,1.48,0.29
7.67,3627,M,0.92,0.152
9.28,5507,G,0.95,0.072
6.5,3704,M,0.5,0.2
3.96,4727,K,0.53,0.102
2.79,6615,F,1.15,0.271
7.2,3444,M,1.37,0.714
8.26,3234,M,0.88,0.126
7.54,6738,F,1.59,-0.215
6.87,4548,K,0.49,0.26
